Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Director of Data Science","8 - 10 years",160000
"Senior Associate Attorney","8 - 10 years",120000
"Chief Counsel","31 - 40 years",256300
"Senior Pharmacy Financial Consultant","8 - 10 years",124000
"Director of Housing Initiatives","21 - 30 years",115000
"Senior Marketing Manager","8 - 10 years",1086100
"Teacher, writing center director","11 - 20 years",57000
"Occupational health and safety specialist (consultant)","11 - 20 years",250000
"Front Office Supervisor","8 - 10 years",79000
"Senior Customer Success Manager","11 - 20 years",555439
"Junior Product Manager","2 - 4 years",143000
"Event Manager","8 - 10 years",194200
Archivist,"11 - 20 years",588105
"Graduate Student","2 - 4 years",236050
"Safety and Quality Coordinator","8 - 10 years",66000
"Human Resources Director","8 - 10 years",191000
"IRB Specialist","21 - 30 years",77000
"Staff physician","8 - 10 years",222000
"Outreach Associate","8 - 10 years",64000
"Financial Analyst II","21 - 30 years",66000
"Associate Governmental Program Analyst","31 - 40 years",64625
"Digital Communications Manager","5-7 years",135900
"Front End Developer","5-7 years",183000
"Communication manager","5-7 years",65000
"Senior Data Engineer","2 - 4 years",160000
"Compliance Manager","8 - 10 years",296000
"Application Analyst","11 - 20 years",345000
"Program Consultant","11 - 20 years",71000
"Product Designer","5-7 years",515500
"Health Information Services Supervisor","21 - 30 years",67000
"Administrative Librarian","21 - 30 years",243302
Statistician,"2 - 4 years",260250
"Product development engineer","8 - 10 years",272500
"Freelance Copywriter","8 - 10 years",120000
"Software Quality Assurance Manager","31 - 40 years",112500
"Assistant Professor","11 - 20 years",3152452
"Process Improvement Educator","31 - 40 years",67000
"Advisor Internal Digital communication systems","21 - 30 years",80000
"Associate Director","21 - 30 years",1240700
"Senior Graphic Designer","5-7 years",439999
"Compliance consultant","11 - 20 years",98000
"Lead Payroll & Benefits Specialist","5-7 years",70400
"Member Benefits Specialist","5-7 years",63000
"Director, Alumni Relations","21 - 30 years",88000
"Executive Assistant","5-7 years",1462640
"Health & Safety Assistant","2 - 4 years",34000
"Marketing Analytics Manager","11 - 20 years",200000
"Curriculum & Teaching Specialist","11 - 20 years",40460
"Principal Business Analyst","11 - 20 years",287000
"Sr Technical Support Rep","8 - 10 years",53000
"Software Developer","2 - 4 years",3224570
"Admissions Coordinator","11 - 20 years",113132
"Office Manager and Bookkeeper","11 - 20 years",75000
"Data Analytics Manager","11 - 20 years",74000
"Associate Executive Director, Advocacy & Governance","11 - 20 years",178000
"Development Manager","8 - 10 years",482495
"Director of Strategy","21 - 30 years",473000
"Senior Publishing Editor","11 - 20 years",50600
"Email Marketing Manager","8 - 10 years",167500
"Administrative Assistant","5-7 years",1664671
"Legal Secretary","21 - 30 years",164000
"Digital Marketing Specialist","2 - 4 years",213900
Attorney,"11 - 20 years",5894764
"Pharmacy Billing Specialist","21 - 30 years",35700
"marketing communications consultant","8 - 10 years",78000
"Director of Information Technology","21 - 30 years",65000
"Development Associate","8 - 10 years",308280
"Director of IT","21 - 30 years",1079600
"Sr Sourcing Specialist","11 - 20 years",78100
"YA Librarian","11 - 20 years",58000
"Programme Administrator","11 - 20 years",24461
"Director, Government Relations","5-7 years",139000
"Alumni Relations Coordinator","5-7 years",72000
"Development Manager","5-7 years",452600
"Social Services Director","11 - 20 years",85000
Teacher,"11 - 20 years",9031492
"Sales Operations Associate","5-7 years",56000
"Lease Administrator","11 - 20 years",106000
"Library Director","11 - 20 years",1137220
"Inside Sales Representative","5-7 years",67000
"UX Specialist","5-7 years",60000
"Senior Associate","11 - 20 years",1605500
"Sr. Product Manager","11 - 20 years",524000
"Senior Designer","11 - 20 years",141900
"Office Manager","11 - 20 years",2401024
"Reference and Research Librarian","8 - 10 years",47000
"senior communications associate","11 - 20 years",52000
"Associate Research Professor","11 - 20 years",120000
"Content Writer","2 - 4 years",238200
"Production Control Specialist","8 - 10 years",60000
"Community center director","2 - 4 years",42000
"Full Charge Bookkeeper","11 - 20 years",184450
CPA,"31 - 40 years",62000
Postdoc,"2 - 4 years",116000
"Manager of Service Development","8 - 10 years",82500
"Asset Protection","31 - 40 years",34200
"Software Engineer 2","5-7 years",385900
"Executive Director","11 - 20 years",5182900
"Research Analyst","2 - 4 years",425510
"Senior Art Consultant","21 - 30 years",77500
"Supervisory Archivist","21 - 30 years",153000
Consultant,"1 year or less",501000
"Software Engineer Team Lead","5-7 years",112000
Epidemiologist,"11 - 20 years",415500
"Commercial Director","11 - 20 years",245000
"Assistant Acquisitions Editor","8 - 10 years",43607
"Executive Assistant and Projects Manager","2 - 4 years",47000
"IT Analyst","21 - 30 years",343800
"Sr Business Analyst","8 - 10 years",189500
"Insurance Broker","11 - 20 years",153000
"DoD Financial Analyst Consultant","8 - 10 years",90000
"HCE Analyst","11 - 20 years",61600
"Associate Recruiter","2 - 4 years",49000
"HRIS Support Technician","2 - 4 years",40000
"Project Manager","2 - 4 years",1772660
"Admin Assistant IV","21 - 30 years",46000
"Geospatial Data Technician II","11 - 20 years",58000
"Information Resources and Services Support Specialist","11 - 20 years",36000
"Tax accountant","8 - 10 years",186420
"Fisheries Management Specialist","8 - 10 years",94000
"Senior Managing Editor","11 - 20 years",361000
"Web Production Manager","8 - 10 years",80300
"Executive Agency Counsel","11 - 20 years",114000
"Software developer","8 - 10 years",1547539
"Application Specialist","21 - 30 years",107500
"Public Information Officer","5-7 years",52000
"Library Assistant","21 - 30 years",208232
"Research Assistant","2 - 4 years",703746
"Physician (FM)","2 - 4 years",200000
"Director of Enrolment Management","11 - 20 years",110000
"Corporate and Foundation Relations Manager","21 - 30 years",41470
"Taxonomy Analyst","21 - 30 years",87100
"Application Development Analyst","1 year or less",73625
"Senior RFP Specialist","11 - 20 years",89600
"Senior Editor","5-7 years",477800
"Managing Supervisor","11 - 20 years",83000
"Electrical Engineer I","1 year or less",75000
"Marketing Manager / Senior Product Manager","8 - 10 years",57000
"Shift Leader (Manager)","5-7 years",35750
"Educational Technology Coordinator","11 - 20 years",45000
"QA and Testing Analyst II","8 - 10 years",59571
"Managing Editor","31 - 40 years",204000
"Donor Relations Manager","5-7 years",70000
"Student Paraprofessional","8 - 10 years",41787
"Sr. Project Manager","21 - 30 years",107000
"Science Manager","8 - 10 years",60000
"Executive Director","8 - 10 years",851651
"Learning specialist","8 - 10 years",151500
"Senior Accountant","8 - 10 years",622867
"Associate Director, Medical Communications","11 - 20 years",193000
"Data Analyst","5-7 years",2836650
Banker,"2 - 4 years",242060
"Technical writer","8 - 10 years",697040
"public defender","11 - 20 years",164000
"Special Education Teacher","21 - 30 years",211904
Analyst,"1 year or less",915700
"Senior IT Manager","21 - 30 years",343000
"HR Specialist","21 - 30 years",98765
"Compensation Analyst","2 - 4 years",167300
"Controls System Engineer","8 - 10 years",72000
"Senior Software Engineer","11 - 20 years",19569458
"Payment Services Officer","11 - 20 years",122600
"senior primary systems engineer","31 - 40 years",117006
"Mechanical Engineer","8 - 10 years",527000
"Internal Communications and Engagement Manager","21 - 30 years",42000
"Senior Executive Assistant","8 - 10 years",335000
"Planning & Development Director","11 - 20 years",89980
"Art Teacher","5-7 years",71000
Statistician,"11 - 20 years",534093
"Brand Manager","8 - 10 years",327500
"Business and Governance Lead","11 - 20 years",45000
"Retention Specialist and Coordinator for Academic Programs","5-7 years",48000
"Billing and Commission Specialist","21 - 30 years",40206
"Compensation Manager","11 - 20 years",611500
"Principal Integration and Test Engineer","11 - 20 years",118000
"Principal Scientist","11 - 20 years",583000
Auditor,"11 - 20 years",414444
"International Services Coordinator","11 - 20 years",59000
"Associate Director, Information Governance","21 - 30 years",212000
"Head of Youth Services- Public Library","8 - 10 years",60000
"Operations Manager","8 - 10 years",1398197
"Desktop Support Technician","8 - 10 years",44000
"Research Administrator","11 - 20 years",283000
"Nurse Practitioner","11 - 20 years",2088270
"Senior Technical Writer","21 - 30 years",748351
"IT Program Director","11 - 20 years",184000
"Director of Professional Development","11 - 20 years",100000
"Operations Manager","21 - 30 years",1482742
"Project Controller Senior","11 - 20 years",98500
"Analytics Manager","5-7 years",703000
Writer/Editor,"8 - 10 years",218000
"Assistant Teaching Professor","11 - 20 years",166825
"Resource Manager","11 - 20 years",187703
"Media Specialist","5-7 years",100879
"Disability support","5-7 years",57500
"Volunteer Recruitment Specialist","8 - 10 years",55000
"Community Engagement Manager","2 - 4 years",35100
"Academic librarian","5-7 years",65000
"Certified Anaesthesiologist Assistant","1 year or less",165000
"Commercial Counsel","8 - 10 years",347000
"Chief Information Security Officer","21 - 30 years",165000
"Science and Humanities Teacher (high school)","8 - 10 years",53500
"Software engineer","8 - 10 years",13845955
"Communication Manager","2 - 4 years",39000
"R&D specialist II","5-7 years",77000
"Emergency Management Planner","8 - 10 years",65936
"Senior Tax Accountant","2 - 4 years",187500
"Product Analyst","5-7 years",78750
"Farm to School Specialist","11 - 20 years",56000
Controller,"11 - 20 years",4055051
"Marketing Automation Developer","8 - 10 years",87500
Administration,"21 - 30 years",201285
"Risk Analyst","2 - 4 years",87500
"Academic Advisor","11 - 20 years",489000
"Sales Manager","8 - 10 years",661600
"Associate Director","8 - 10 years",1640838
"Technology Coordinator","8 - 10 years",40000
"Managing Editor","5-7 years",297770
"Level 1 Support","8 - 10 years",40000
"School Librarian","11 - 20 years",96000
"Urban Specialist","8 - 10 years",152723
"Regional Manager","21 - 30 years",186000
"Software Developer and Consultant","5-7 years",98000
Advisor,"11 - 20 years",108000
"Information Professional (Librarian)","8 - 10 years",38000
"Senior IT program delivery manager","21 - 30 years",195000
"Trade Compliance Lead","21 - 30 years",92000
"Assistant Professor of History","11 - 20 years",70000
"Senior Analyst","11 - 20 years",1579931
"Product Development Specialist","2 - 4 years",53000
Embryologist,"8 - 10 years",65154
"Director of Finance and Administration","11 - 20 years",213103
"project coordinator","11 - 20 years",791265
"eComm Merchandiser","8 - 10 years",47000
"Associate Registrar","11 - 20 years",220000
"Program and Development Coordinator","2 - 4 years",51000
"Associate Publicist","2 - 4 years",45000
"Director of Development and Communications","11 - 20 years",245000
"Fulfilment Supervisor","2 - 4 years",53000
"VP of Communication","8 - 10 years",95000
"Senior Manager","21 - 30 years",2697462
"Parts Quality Engineer","5-7 years",85000
"Account manager","2 - 4 years",785910
"EDI Manager","41 years or more",66000
"office manager","8 - 10 years",1094442
"HR Manager/Accounts Payable","11 - 20 years",53500
"North American Service Quality Manager","8 - 10 years",101920
"Sr. Document Control Specialist","8 - 10 years",53644
"Service Representative II","8 - 10 years",42675
"Vice President Advisor Escalations","11 - 20 years",115000
"Managing director","31 - 40 years",640000
"admissions communications","21 - 30 years",50000
"Technical Recruiter","5-7 years",100000
"Client Admin Team Manager","21 - 30 years",65000
"account manager","8 - 10 years",1336500
"Accounts Payable","31 - 40 years",55000
"Client Relationship Manager","8 - 10 years",106500
"Digital Product Manager","8 - 10 years",346000
"Lab Technician","5-7 years",50000
"Associate (consultant)","11 - 20 years",65000
"Product Owner","8 - 10 years",949860
"Real Estate Law Clerk","8 - 10 years",54500
"Operations Engineer","8 - 10 years",81000
"Manager Library/Tutoring","41 years or more",95325
"Sr. Director","41 years or more",288000
"Program Manager III","11 - 20 years",136000
professor,"11 - 20 years",2233000
"Sr. Quality Lab Technician","11 - 20 years",60002
"Go-To-Market Strategist","11 - 20 years",111000
"Department Manager","21 - 30 years",253200
"Clinical Evaluation Manager","11 - 20 years",4400
"Consulting actuary","5-7 years",350000
"Assistant Manager","5-7 years",403147
"Brand Ambassador/Sales Associate","5-7 years",27289
"Instructional Systems Designer","5-7 years",81500
"Software Engineer 2","2 - 4 years",608000
"Staff Accountant","2 - 4 years",369000
"Library Supervisor","11 - 20 years",234000
"Director of Special Events","21 - 30 years",110000
"Store Manager","21 - 30 years",564628
"Middle School Principal","31 - 40 years",61000
"Art Coordinator","2 - 4 years",31200
"Registered operations specialist","8 - 10 years",59000
"Higher executive officer","8 - 10 years",50000
"Systems Analyst","11 - 20 years",563900
"Senior Program Analyst","8 - 10 years",122540
"Program Manager for Graduate Career Services","11 - 20 years",59000
"Senior investor relations analyst","8 - 10 years",120000
"Sr. Director of Marketing","11 - 20 years",255000
Physician,"31 - 40 years",389000
"Senior Program Manager","5-7 years",865143
"Environmental Scientist","11 - 20 years",213750
"Stewardship Forester","11 - 20 years",58703
"Training Coordinator","11 - 20 years",108495
"Evaluation Lead","2 - 4 years",57000
"member engagement associate","8 - 10 years",67100
"Social Media Editor","5-7 years",75000
