City,Industry,Average_Salary
Galveston,"Academic research",56500
Olathe,"Property or Construction",81000
"Porter County","Office Administration",41000
Starkville,"Business or Consulting",130000
Ithaca,"Education (Higher Education)",72522.88888888889
"Washington DC","Business or Consulting",102104.54545454546
"Sierra Vista",defence,82000
"Oklahoma City","Hospitality & Events",110000
"San Jose","Government and Public Administration",81945.5
xxx,"Education (Higher Education)",91000
Blackpool,"Education (Primary/Secondary)",32472
Minneapolis,"Social Work",70250
Waterloo,"Business or Consulting",95200
"Virginia Beach","Public library",46400
"Santa Cruz",Nonprofits,67840
"Port washington","Engineering or Manufacturing",58000
Birmingham,"Computing or Tech",57267.73733333333
"Coral Gables","Accounting, Banking & Finance",110000
"Menlo Park","Engineering or Manufacturing",138500
Northborough,"Education (Primary/Secondary)",28000
Cambridge,"Art & Design",65300
London,"Agriculture or Forestry",671580
Bethesda,"Education (Higher Education)",41050
"I'm permanently remote in MA, company is global.","Marketing, Advertising & PR",104000
Bangor,"Science/research non-academic",76000
Victoria,"Computing or Tech",141793.6
Dayton,"Computing or Tech",109504
Guelph,"Health care",114240
"Remote--don't work in same state as my employer is located",Philanthropy,65000
Erie,"Health care",31000
Göttingen,"Government and Public Administration",30065.6
"Nottoway County","Government and Public Administration",55000
NYC,"Education (Primary/Secondary)",60250
"Prefer not to say","Law Enforcement & Security",72612
--,"Education (Higher Education)",66000
"Denver Metro","Engineering or Manufacturing",97000
Phoenix,Retail,50333.333333333336
Peterborough,"Marketing, Advertising & PR",45623.5
Remote,"Emergency Management",76000
Inverness,"Science research",28044
Ardrossan,"Education (Primary/Secondary)",34686
Doncaster,"Education (Primary/Secondary)",18081
"El Dorado","Social Work",26000
"La Grande","Engineering or Manufacturing",72000
"Milton Keynes",Insurance,14944.5
"Research Triangle","Engineering or Manufacturing",115000
"Augusta IL","Health care",24900
Charleston,"Hospitality & Events",56250
WFH,"Accounting, Banking & Finance",141236
Oakland,"Marketing, Advertising & PR",102000
"Milwaukee area","Engineering or Manufacturing",85000
Plymouth,"Health care",45500
Clawson,Sales,34320
"Cambridge MA","Education (Higher Education)",86000
"Washington DC","Computing or Tech",156891.66666666666
Orlando,"Art & Design",31200
Niskayuna,Law,202000
Auburn,"Accounting, Banking & Finance",108250
"Mount Airy",Nonprofits,56000
"San Jose","Education (Higher Education)",69348
Westchester,"Recruitment or HR",77000
"Boston area","Utilities & Telecommunications",121500
"Green Oaks","Engineering or Manufacturing",78000
Gilbert,"Health care",80000
Ottawa,"Marketing, Advertising & PR",177706.66666666666
Denver,"State and federal contractor",75000
Chicago,Architecture,86500
Manhattan,"Art & Design",150000
Murfreesboro,"Business or Consulting",67000
Burlington,Architecture,48880
Seattle,Architecture,55000
Columbia,"Service and repair",51000
Trumbull,"Media & Digital",62000
Hartford,"Education (Higher Education)",85936.2
Tucson,Law,101000
Hillsboro,"Accounting, Banking & Finance",89750
"Walla Walla","Government and Public Administration",76500
"Based on current client project","Computing or Tech",155000
Waltham,Pharma,125000
Kenosha,"Education (Higher Education)",65000
Wellington,"Education (Primary/Secondary)",45000
"New York City","Restaurant/Food Service",35360
Toronto,"Publishing (book)",77030.4
Chattanooga,Insurance,107400
"Central Ohio","Media & Digital",42000
Cleveland,"Industry unknown",68000
Thorofare,"Media & Digital",43000
Houston,"Recruitment or HR",85704
"Saint Louis","Health care",94633.33333333333
"Prefer not to answer","Government and Public Administration",65450
Hackensack,Libraries,74000
"West Mifflin","Nuclear research",122000
Pittsfield,"Engineering or Manufacturing",120700
"San Francisco","Media & Digital",109875
"Burlington, MA","Computing or Tech",100000
Akron,"Computing or Tech",74500
Peterborough,Nonprofits,40500
Major,"Government and Public Administration",813000
"Victoria, B.C., Canada","Computing or Tech",57800
"village near Riga","Education (Primary/Secondary)",10540.44
Berkeley,"Marketing, Advertising & PR",91500
Cambridge,"Education (Primary/Secondary)",65000
"The Pas Manitoba","Education (Higher Education)",114240
Binghamton,"Education (Higher Education)",57500
"Henrico County","Government and Public Administration",69500
"Oak Ridge","Scientific R&D",55500
Uusimaa,"Government and Public Administration",39330
Indianapolis,"Media & Digital",75000
"New Haven","Health care",985000
"Ft Meade","Government and Public Administration",110404.5
"Washington DC metro area","Computing or Tech",152000
Dayton,defence,86953
Auburn,"Education (Higher Education)",65640
Beaverton,"Government and Public Administration",120000
"Oklahoma City","Science (Research, Biology)",55000
Warrenton,"Property or Construction",30000
Montvale,"Marketing, Advertising & PR",110500
Liberty,"Health care",66650
Spokane,"Engineering or Manufacturing",49010
Hanover,"Engineering or Manufacturing",82250
Sudbury,"Government and Public Administration",122400
Alexandria,Law,113333.33333333333
Kenora,Insurance,54672
Brooklyn,Nonprofits,92750
Manchester,"Health care",41525.89433333334
Houston,Retail,20488
Isabella,Library,46280
"Winston Salem","Education (Higher Education)",40000
Alexandria,"Engineering or Manufacturing",97265
Festus,"Health care",100000
Albany,Law,85500
Princeton,"Accounting, Banking & Finance",94240.75
Appleton,"Social Work",51200
Saskatoon,Nonprofits,80924.76
"NYC, NY","Education (Higher Education)",90000
"Green Bay","Social Work",37500
Collingswood,"Engineering or Manufacturing",54000
"Refuse to Answer","Transport or Logistics",54000
Orlando,"Computing or Tech",132154.54545454544
Scottsdale,"Computing or Tech",89142.85714285714
Bentonville,"Transport or Logistics",111000
Detroit,"Art & Design",98250
Sacramento,Sales,132000
"St Louis","Education (Higher Education)",118500
Harrisburg,"Marketing, Advertising & PR",30000
Orlando,"Health care",105133.33333333333
Elizabeth,"Recruitment or HR",63000
Vancouver,"Research science",81600
Amsterdam,Insurance,63627.2
"Rural Ontario","Government and Public Administration",111520
"Small town","Environmental Science",112880
Cambridge,"Engineering or Manufacturing",89610.15000000001
Na,"Education (Primary/Secondary)",60250
Elkhart,"Marketing, Advertising & PR",45400
CFL,"Government and Public Administration",48000
"Las Vegas","Market Research",42000
Calgary,"Social Work",72760
Birmingham,"Engineering or Manufacturing",44382
"South Burlington","Health care",55120
Ithaca,Nonprofits,62000
Fairfax,"Education (Higher Education)",66800
Enschede,"Computing or Tech",15.732
"St. Cloud","Accounting, Banking & Finance",62000
Morehead,"Education (Higher Education)",61000
Oakland,Retail,33300
Pearisburg,"Education (Primary/Secondary)",69000
"Falcon Heights",Nonprofits,58000
Phoenix,"Computing or Tech",109431.57894736843
Lexington,"Business or Consulting",94000
"DC metro area","Health care",125000
"Northeast Ohio","Health care",60000
Montreal,"Recruitment or HR",103360
Fairfax,"Engineering or Manufacturing",78800
Minneapolis,Technology,58000
Phoenix,"Engineering or Manufacturing",93514
Greenbelt,"Government and Public Administration",104345
Hackensack,"Engineering or Manufacturing",115000
Hamburg,"Computing or Tech",62059.681000000004
Iowa,"Education (Higher Education)",63400
Southampton,Nonprofits,18450
Calgary,Law,88427.2
Fayetteville,"Art & Design",44000
"Los Angeles","Education (Primary/Secondary)",84985.8
Warsaw,"Leisure, Sport & Tourism",43000
Watertown,Retail,28080
"Thousand oaks",Law,120000
"Santa Barbara",Chemistry,70000
Bristol,Entertainment,83500
"I work from home (permanent)","Accounting, Banking & Finance",95000
"New Britain","Health care",66127
Danbury,"Accounting, Banking & Finance",78000
Tacoma,"Health care",85175
Asheville,Nonprofits,35211
Pocatello,"Computing or Tech",60000
"Philadelphia Area","Recruitment or HR",75000
Munich,"Accounting, Banking & Finance",73998.66666666667
Commack,Nonprofits,36000
Glasgow,Law,26568
Jasper,"Transport or Logistics",91000
Bolton,"Engineering or Manufacturing",22140
"Corp HQ is in Charleston, SC. I WFH.","Computing or Tech",56000
Greensboro,"Recruitment or HR",48000
Ainsworth,"Health care",33800
"Minneapolis, MN","Education (Higher Education)",68000
"prefer not to answer",Nonprofits,42333.333333333336
Columbia,Nonprofits,65000
"Metrowest Boston",Libraries,58000
Columbus,"Art & Design",65333.333333333336
"Rural Washington State","Computing or Tech",240000
"Bryn Mawr","Health care",97000
Wayne,"Education (Higher Education)",50000
"Pearl City","Mental health",30000
Redacted,Law,213520
Boston,"Public Library",63000
Louisville,"Marketing, Advertising & PR",56500
Windsor,"Accounting, Banking & Finance",53000
Chester,"Engineering or Manufacturing",125000
Valencia,Entertainment,31000
Phoenixville,Pet,53000
Potsdam,"Education (Higher Education)",62000
"Detroit metro",Nonprofits,51333
Reno/Sparks,Nonprofits,39520
Rockland,"Government and Public Administration",38688
Manchester,"Education (Higher Education)",52351.18633333334
Huntsville,"Health care",52000
NYC,"Transport or Logistics",95833.33333333333
Eugene,Sales,40500
Huntsville,"Government and Public Administration",87999.33333333333
Greeley,"Education (Primary/Secondary)",50000
Jackson,"Computing or Tech",94000
Sheffield,Nonprofits,22140
Berkeley,"Property or Construction",85000
Portland,Fitness,62000
"Greater Madison Area",Retail,64000
Indianapolis,Retail,49500
Louisville,"Recruitment or HR",108700
Bremerton,"Government and Public Administration",86335
Vancouver,"Media & Digital",89260
Southampton,"Accounting, Banking & Finance",16974
"Fort Belvoir","Government and Public Administration",122530
Brookline,Nonprofits,67500
Manhattan,"Education (Higher Education)",38200
Lewiston,"Education (Higher Education)",66666.66666666667
Bartlesville,"Oil & Gas",160000
"Santa Monica",Retail,31200
Gurley,"mental health",51079
Peoria,"Education (Higher Education)",44750
"Houston, TX","Engineering or Manufacturing",118500
"Downers Grove","Education (Higher Education)",72548
Westport,"Media & Digital",225000
Toronto,"student paid intern in computing",54400
Woburn,"Accounting, Banking & Finance",54500
Dallas,"Recruitment or HR",93666.66666666667
"Chapel Hill","Health care",63000
"Washington, DC area","Marketing, Advertising & PR",75000
"San Juan",Law,42000
Boulder,Publishing,63000
Greeneville,"Health care",24980
Tuscaloosa,"Education (Higher Education)",42115.6
"Preston, Lancashire","Health care",51660
"Fort Myers","Computing or Tech",73000
Toronto,"Business or Consulting",146754.02105263158
Montreal,Nonprofits,120530
Gulfport,"Health care",35000
Rural/Suburban,Law,140000
Cincinnati,"Social Work",35360
Hawthorne,"Engineering or Manufacturing",91000
Fargo,"Education (Higher Education)",75000
Toronto,"Paid student intern in Tech",54400
Lawrence,"Art & Design",49000
Buffalo,"Marketing, Advertising & PR",47666.666666666664
Vancouver,"Marketing, Advertising & PR",98761.81818181818
"Southeast WI","Health care",81000
"Nashville (at home, remote)","Media & Digital",92000
Minneapolis,"Education (Primary/Secondary)",76391.4
"Long Island","Education (Higher Education)",75000
Stockholm,"Government and Public Administration",2528988.6666666665
Raleigh,Pharmaceuticals,109000
Redmond,Security,85000
Seneca,Manufacturing,37500
"Baltimore Area","biomedical research",53000
"Walnut Creek","Accounting, Banking & Finance",105000
"Portland, OR","Computing or Tech",151500
"New York City",Philanthropy,80000
Washington,Consulting,92000
Lincoln,Retail,36421
Newton,"Marketing, Advertising & PR",75000
Lewiston,Nonprofits,43000
"Denver, CO","Health care",120000
Minneapolis,Museum,35000
Nashville,Insurance,104770
Baltimore,"Business or Consulting",138380
"Boston area",Law,54000
"Halifax, Nova Scotia","Accounting, Banking & Finance",79859.2
Greenville,Nonprofits,46000
Wilbraham,"Public Library (might be considered Government, but that always seems an odd designation...)",65000
Aberdeen,Sales,40000
Copenhagen,"Accounting, Banking & Finance",700000
Richmond,"Health care",89732.72727272728
Decatur,"Recruitment or HR",47739
"Charleston area",Nonprofits,65000
"Small state - no answer","Business or Consulting",97000
Fairfax,"Religious institute",32000
Ames,Nonprofits,45520
"Near Manchester, UK","Daycare for children under 5 years old",7380
Dresden,Sales,39330
Gloucestershire,"Government and Public Administration",20494.26
Houston,"Oil & Gas - Non Destructive Testing",59000
Pittsburgh,"Marketing, Advertising & PR",100666.66666666667
Detroit,"Recruitment or HR",86500
Portland,"Academic research",48000
Minnetonka,"Education (Primary/Secondary)",58000
"Suburban Chicago, Illinois","Government and Public Administration",57000
Springfield,Retail,25000
Edmonton,"Education (Higher Education)",97781.08571428573
Seattle,Childcare,48750
Pullman,"Education (Higher Education)",59750
Seattle,Gaming,140000
"West Lafayette","Education (Higher Education)",127600
"WFH in Northern NJ but company HQ is in Illinois, local office NYC","Computing or Tech",172000
"Central Valley","Education (Higher Education)",99000
Seattle,"Renewable Energy",71077
Chicago,Politics,64000
"Egg Harbor Township","Government and Public Administration",64000
"Iowa City",Law,63000
Beltsville,Biotech/Pharmaceuticals,90000
Plantation,"Computing or Tech",155000
Ramsbottom,Retail,13110
Seattle,"Environmental Consulting",53800
Pendleton,"Education (Higher Education)",53000
"Lehigh Valley","Transport or Logistics",47840
Knoxville,"Health care",75810
Omaha,"Government and Public Administration",47025.666666666664
Atlanta,"Wholesale supplier",76147
Memphis,"Government and Public Administration",73500
Boulder,"Business or Consulting",67075
Richardson,"Law Enforcement & Security",84200
"Oklahoma City","Computing or Tech",94645
Skillman,"Accounting, Banking & Finance",133000
Edinburgh,"Recruitment or HR",14760
"Victoria, BC","Computing or Tech",172266.66666666666
"Palo Alto","Computing or Tech",142025
"Overland Park","Health care",56120
Middletown,Library,58493
"annandale Va",Nonprofits,47000
Steinbach,"Accounting, Banking & Finance",102000
Fairfax,"Computing or Tech",130466.66666666667
